,County,Fair_or_Poor_Health_Percent,Low_birthweight_Percent,Food_Environment_Index,Mental_Health_Provider_Ratio,Death_Ratio,Driving_Death_Ratio,Uninsured_Ratio
0,Albany,12.916666666666666,8.166666666666666,6.008333333333333,2.9708831758517587,9.785674357150116,0.3038503235423654,50.274788681099025
1,Allegany,15.5,6.833333333333333,6.1499999999999995,1.4831808749357,12.084911887951321,0.5291745594397566,60.99678548877791
2,Bronx,26.666666666666668,9.416666666666666,5.491666666666667,1.5081154010502917,10.104885465289199,0.16472527378008234,98.3201077782018
3,Broome,15.083333333333334,7.75,5.916666666666667,1.5373960233516417,11.684861479509236,0.3435120266957918,58.64618512907496
4,Cattaraugus,18.25,7.333333333333333,6.133333333333333,0.8665308051144602,13.811730398137811,0.5830153249742565,74.81417062554624
5,Cayuga,14.0,6.583333333333333,6.416666666666667,1.2684815875273716,11.664786835938864,0.5333473227713076,62.80055433147974
6,Chautauqua,16.916666666666668,7.583333333333333,5.941666666666666,1.4190052189116582,13.24055868460014,0.5202743810889076,62.47666272380937
7,Chemung,17.666666666666668,7.666666666666667,5.833333333333333,2.2627134757623333,13.66441666270539,0.43673052241289156,53.68418342285814
8,Chenango,14.083333333333334,6.583333333333333,6.366666666666667,1.8527431273952624,14.146548072850488,0.7147395171537484,65.286601722434
9,Clinton,15.0,7.083333333333333,5.7250000000000005,1.715104844368975,11.211586070997665,0.4863711700879643,61.29529201057075
10,Columbia,13.333333333333334,6.666666666666667,6.325,1.2346220482592405,12.84581235450165,0.6104163282984137,65.78014184397163
11,Cortland,15.5,7.5,6.175,2.50973982600325,11.988435272419121,0.4610936643238124,56.27301017610574
12,Delaware,14.166666666666666,6.833333333333333,6.333333333333333,0.8660971247378334,14.67567933556017,0.8651560290090579,68.75921579248292
13,Dutchess,12.666666666666666,7.083333333333333,6.3999999999999995,2.3678945511152834,9.77405368506071,0.39736046761807886,58.68994393584558
14,Erie,14.833333333333334,8.333333333333334,5.866666666666667,1.9888794626837918,11.67137898800716,0.2754385008879704,49.82004801048518
15,Essex,11.833333333333334,7.25,6.425,1.8286648499006584,12.720365961317247,0.6353495091089056,63.996415291190715
16,Franklin,16.083333333333332,7.416666666666667,5.641666666666667,1.8872736081939416,12.51182840921039,0.5975537097395998,82.1680159814951
17,Fulton,17.0,7.333333333333333,5.991666666666667,1.1780138651778918,13.527367289275624,0.5313429850223789,65.89434401020179
18,Genesee,14.166666666666666,6.0,6.483333333333333,1.0970664978756501,11.750416752300703,0.7207531227877875,59.41860199584389
19,Greene,13.583333333333334,8.166666666666666,6.191666666666666,0.6460698056090417,14.202708059502202,0.8188854812125764,62.73949357757331
20,Hamilton,13.857142857142858,5.428571428571429,7.7,0.5098927103044142,9.510755545609667,0.6713474502783294,52.700774846848866
21,Herkimer,14.416666666666666,6.666666666666667,6.033333333333334,0.38298567854993965,12.710831019249849,0.5805993891928144,65.17262785657671
22,Jefferson,15.25,6.583333333333333,5.708333333333333,1.3119374825559937,9.833991598198553,0.4904858594426024,65.08683099013888
23,Kings,19.083333333333332,8.0,5.491666666666667,1.4957654892125747,8.27073146900754,0.15213404315818943,89.79977637057088
24,Lewis,14.916666666666666,6.5,6.066666666666666,1.5997358154856833,10.696461264514834,0.8088179971409224,70.8029242846036
25,Livingston,12.916666666666666,6.0,6.075,0.6993845526454128,10.292341861543271,0.5579454668952356,53.70562042457763
26,Madison,13.666666666666666,6.416666666666667,6.408333333333334,1.3078591265432333,10.626176193836745,0.5562416686269898,57.17894809064534
27,Monroe,15.416666666666666,8.083333333333334,5.841666666666666,1.9018973667754167,9.592995568243216,0.2832119505128539,52.86198788673629
28,Montgomery,15.666666666666666,7.083333333333333,5.241666666666666,0.7086151529967251,12.618105467172738,0.50135939056233,65.6831274058521
29,Nassau,12.083333333333334,7.833333333333333,7.283333333333332,2.2605342070434835,7.597994613263561,0.3148790563515297,57.42667986842187
30,New York,16.0,8.166666666666666,6.075,6.2663749981656425,7.334558653548579,0.13260530267750567,67.10290663347206
31,Niagara,15.0,7.666666666666667,5.983333333333333,0.8037799752428952,13.364461957560994,0.43534619230781285,57.415540487587734
32,Oneida,15.25,8.0,5.941666666666666,1.163219131419875,12.225453239992822,0.38808113444623943,58.241967330820316
33,Onondaga,13.916666666666666,7.916666666666667,5.966666666666666,1.7650595955405417,10.134671938263004,0.330698934208575,57.511360234143936
34,Ontario,10.833333333333334,6.583333333333333,6.466666666666666,1.4963028961732499,10.543195385536526,0.5253813275474696,50.401038609969945
35,Orange,16.166666666666668,6.833333333333333,6.466666666666666,1.7212334334667747,8.620102497653518,0.4458315682805478,63.09814524100239
36,Orleans,17.916666666666668,7.0,6.05,4.766011408067217,12.852291599533995,0.5866362607308991,69.1094696312454
37,Oswego,16.5,6.833333333333333,6.075,0.9241390132356566,12.443451747855068,0.7345954761398285,63.77295610862937
38,Otsego,14.583333333333334,6.416666666666667,5.791666666666667,1.468033730288075,11.770100015947873,0.4414143485293783,63.731688424122304
39,Putnam,9.833333333333334,7.416666666666667,6.8999999999999995,2.333009962519792,8.644079944301101,0.3822473413332242,54.57007412868084
40,Queens,18.583333333333332,8.0,6.383333333333333,1.1390585350797167,7.432973430489918,0.17588429231671449,114.89363382698723
41,Rensselaer,14.583333333333334,7.416666666666667,6.191666666666666,1.1438002444815865,11.07542563975258,0.34133929125550794,52.58073191418938
42,Richmond,14.916666666666666,7.916666666666667,6.7250000000000005,1.5842187748064585,9.516783090299421,0.18877236439823808,57.22660281689383
43,Rockland,14.333333333333334,6.0,6.516666666666667,2.0172682191892,6.928167552884914,0.24113609336868352,63.63825349487236
44,Saratoga,11.5,6.416666666666667,6.641666666666667,1.227478945221675,8.745242573886065,0.3764895042935373,44.208501585926655
45,Schenectady,14.083333333333334,8.166666666666666,6.0,1.5683965232546917,10.605610070373674,0.23988628862696468,56.88415653872028
46,Schoharie,13.166666666666666,6.666666666666667,6.241666666666667,2.4090921265810836,12.185613964236834,0.6646698525947364,64.39725381974827
47,Schuyler,15.363636363636363,6.181818181818182,6.918181818181818,1.500324309687591,13.185830819085933,0.5231666311116528,60.33177907130303
48,Seneca,17.555555555555557,5.888888888888889,8.399999999999999,1.627916239532589,12.864493996569468,0.7820560845934952,63.218390804597696
49,St. Lawrence,17.25,7.0,5.666666666666667,1.4019790563380665,12.19298649831805,0.5022810008755357,68.19117398583782
50,Steuben,15.416666666666666,7.0,6.116666666666667,1.2677737092645829,13.021278566136662,0.5609933321935374,68.2648743374936
51,Suffolk,12.75,7.583333333333333,6.916666666666667,1.9185816434338332,9.114446803676906,0.46534768096186785,64.6027205445458
52,Sullivan,16.916666666666668,8.416666666666666,6.0,1.2617650250823085,13.84861280694614,0.7525267941934608,77.76569495319495
53,Tioga,13.666666666666666,7.0,6.5249999999999995,1.0327291606735103,11.386853781859458,0.5383001410243181,56.39080934200116
54,Tompkins,13.25,6.416666666666667,5.8500000000000005,2.5469191890198917,7.144095580354327,0.41138641951957633,57.10075026795284
55,Ulster,13.416666666666666,6.916666666666667,6.133333333333333,2.557980180322017,11.316040787971106,0.4949106686243133,71.01555669201709
56,Warren,12.5,6.75,6.291666666666667,2.7909246918838,11.907297260294811,0.4690407735876802,57.92019714924624
57,Washington,15.75,7.25,6.308333333333334,2.0831896013739657,12.265777081770034,0.6946483529629267,65.32685176122584
58,Wayne,16.25,6.583333333333333,6.416666666666667,0.6793745346488691,11.966448663314454,0.5943056209809056,61.47731048862694
59,Westchester,13.166666666666666,7.916666666666667,6.808333333333334,3.4114140608854915,7.156271166079451,0.20234813436513457,69.81599676906694
60,Wyoming,14.75,5.75,6.233333333333333,1.5419949559326143,11.29176844061747,0.5839151924864096,58.83973584005658
61,Yates,14.428571428571429,4.714285714285714,8.757142857142856,1.0542430140091714,12.022973393765353,0.5997070661638354,77.89272163212586
