,County,FIPS,Fair_or_Poor_Health_Percent,Low_birthweight_Percent,Food_Environment_Index,Mental_Health_Provider_Ratio,Death_Ratio,Driving_Death_Ratio,Uninsured_Ratio,class
1,Albany,36001,15.5,6.833333333,6.15,1.483180875,12.08491189,0.529174559,60.99678549,4
2,Allegany,36003,26.66666667,9.416666667,5.491666667,1.508115401,10.10488547,0.164725274,98.32010778,1
3,Bronx,36005,15.08333333,7.75,5.916666667,1.537396023,11.68486148,0.343512027,58.64618513,4
4,Broome,36007,18.25,7.333333333,6.133333333,0.866530805,13.8117304,0.583015325,74.81417063,3
5,Cattaraugus,36009,14,6.583333333,6.416666667,1.268481588,11.66478684,0.533347323,62.80055433,0
6,Cayuga,36011,16.91666667,7.583333333,5.941666667,1.419005219,13.24055868,0.520274381,62.47666272,0
7,Chautauqua,36013,17.66666667,7.666666667,5.833333333,2.262713476,13.66441666,0.436730522,53.68418342,2
8,Chemung,36015,14.08333333,6.583333333,6.366666667,1.852743127,14.14654807,0.714739517,65.28660172,0
9,Chenango,36017,15,7.083333333,5.725,1.715104844,11.21158607,0.48637117,61.29529201,4
10,Clinton,36019,13.33333333,6.666666667,6.325,1.234622048,12.84581235,0.610416328,65.78014184,0
11,Columbia,36021,15.5,7.5,6.175,2.509739826,11.98843527,0.461093664,56.27301018,4
12,Cortland,36023,14.16666667,6.833333333,6.333333333,0.866097125,14.67567934,0.865156029,68.75921579,0
13,Delaware,36025,12.66666667,7.083333333,6.4,2.367894551,9.774053685,0.397360468,58.68994394,4
14,Dutchess,36027,14.83333333,8.333333333,5.866666667,1.988879463,11.67137899,0.275438501,49.82004801,2
15,Erie,36029,11.83333333,7.25,6.425,1.82866485,12.72036596,0.635349509,63.99641529,0
16,Essex,36031,16.08333333,7.416666667,5.641666667,1.887273608,12.51182841,0.59755371,82.16801598,3
17,Franklin,36033,17,7.333333333,5.991666667,1.178013865,13.52736729,0.531342985,65.89434401,0
18,Fulton,36035,14.16666667,6,6.483333333,1.097066498,11.75041675,0.720753123,59.418602,4
19,Genesee,36037,13.58333333,8.166666667,6.191666667,0.646069806,14.20270806,0.818885481,62.73949358,0
20,Greene,36039,13.85714286,5.428571429,7.7,0.50989271,9.510755546,0.67134745,52.70077485,2
21,Hamilton,36041,14.41666667,6.666666667,6.033333333,0.382985679,12.71083102,0.580599389,65.17262786,0
22,Herkimer,36043,15.25,6.583333333,5.708333333,1.311937483,9.833991598,0.490485859,65.08683099,0
23,Jefferson,36045,19.08333333,8,5.491666667,1.495765489,8.270731469,0.152134043,89.79977637,1
24,Kings,36047,14.91666667,6.5,6.066666667,1.599735815,10.69646126,0.808817997,70.80292428,0
25,Lewis,36049,12.91666667,6,6.075,0.699384553,10.29234186,0.557945467,53.70562042,2
26,Livingston,36051,13.66666667,6.416666667,6.408333333,1.307859127,10.62617619,0.556241669,57.17894809,4
27,Madison,36053,15.41666667,8.083333333,5.841666667,1.901897367,9.592995568,0.283211951,52.86198789,2
28,Monroe,36055,15.66666667,7.083333333,5.241666667,0.708615153,12.61810547,0.501359391,65.68312741,0
29,Montgomery,36057,12.08333333,7.833333333,7.283333333,2.260534207,7.597994613,0.314879056,57.42667987,4
30,Nassau,36059,16,8.166666667,6.075,6.266374998,7.334558654,0.132605303,67.10290663,0
31,New York,36061,15,7.666666667,5.983333333,0.803779975,13.36446196,0.435346192,57.41554049,4
32,Niagara,36063,15.25,8,5.941666667,1.163219131,12.22545324,0.388081134,58.24196733,4
33,Oneida,36065,13.91666667,7.916666667,5.966666667,1.765059596,10.13467194,0.330698934,57.51136023,4
34,Onondaga,36067,10.83333333,6.583333333,6.466666667,1.496302896,10.54319539,0.525381328,50.40103861,2
35,Ontario,36069,16.16666667,6.833333333,6.466666667,1.721233433,8.620102498,0.445831568,63.09814524,0
36,Orange,36071,17.91666667,7,6.05,4.766011408,12.8522916,0.586636261,69.10946963,0
37,Orleans,36073,16.5,6.833333333,6.075,0.924139013,12.44345175,0.734595476,63.77295611,0
38,Oswego,36075,14.58333333,6.416666667,5.791666667,1.46803373,11.77010002,0.441414349,63.73168842,0
39,Otsego,36077,9.833333333,7.416666667,6.9,2.333009963,8.644079944,0.382247341,54.57007413,2
40,Putnam,36079,18.58333333,8,6.383333333,1.139058535,7.43297343,0.175884292,114.8936338,5
41,Queens,36081,14.58333333,7.416666667,6.191666667,1.143800244,11.07542564,0.341339291,52.58073191,2
42,Rensselaer,36083,14.91666667,7.916666667,6.725,1.584218775,9.51678309,0.188772364,57.22660282,4
43,Richmond,36085,14.33333333,6,6.516666667,2.017268219,6.928167553,0.241136093,63.63825349,0
44,Rockland,36087,11.5,6.416666667,6.641666667,1.227478945,8.745242574,0.376489504,44.20850159,2
45,St. Lawrence,36089,14.08333333,8.166666667,6,1.568396523,10.60561007,0.239886289,56.88415654,4
46,Saratoga,36091,13.16666667,6.666666667,6.241666667,2.409092127,12.18561396,0.664669853,64.39725382,0
47,Schenectady,36093,15.36363636,6.181818182,6.918181818,1.50032431,13.18583082,0.523166631,60.33177907,4
48,Schoharie,36095,17.55555556,5.888888889,8.4,1.62791624,12.864494,0.782056085,63.2183908,0
49,Schuyler,36097,17.25,7,5.666666667,1.401979056,12.1929865,0.502281001,68.19117399,0
50,Seneca,36099,15.41666667,7,6.116666667,1.267773709,13.02127857,0.560993332,68.26487434,0
51,Steuben,36101,12.75,7.583333333,6.916666667,1.918581643,9.114446804,0.465347681,64.60272054,0
52,Suffolk,36103,16.91666667,8.416666667,6,1.261765025,13.84861281,0.752526794,77.76569495,3
53,Sullivan,36105,13.66666667,7,6.525,1.032729161,11.38685378,0.538300141,56.39080934,4
54,Tioga,36107,13.25,6.416666667,5.85,2.546919189,7.14409558,0.41138642,57.10075027,4
55,Tompkins,36109,13.41666667,6.916666667,6.133333333,2.55798018,11.31604079,0.494910669,71.01555669,0
56,Ulster,36111,12.5,6.75,6.291666667,2.790924692,11.90729726,0.469040774,57.92019715,4
57,Warren,36113,15.75,7.25,6.308333333,2.083189601,12.26577708,0.694648353,65.32685176,0
58,Washington,36115,16.25,6.583333333,6.416666667,0.679374535,11.96644866,0.594305621,61.47731049,4
59,Wayne,36117,13.16666667,7.916666667,6.808333333,3.411414061,7.156271166,0.202348134,69.81599677,0
60,Westchester,36119,14.75,5.75,6.233333333,1.541994956,11.29176844,0.583915192,58.83973584,4
61,Wyoming,36121,14.42857143,4.714285714,8.757142857,1.054243014,12.02297339,0.599707066,77.89272163,3